Rank,University Name,Mean,Faculty,Publications,ml,nlp,vision,ai,theory,db,security,robotics,network,eda,se,publication_per_faculty
287,NJIT ,2.8,14,38,2,0,1,3,1,1,0,0,0,0,0,0.0
287,Syracuse University ,2.8,12,43,2,0,2,2,0,0,1,0,0,1,0,0.0
287,Tufts University ,2.8,7,49,3,0,0,2,0,0,0,1,0,0,1,0.0
287,UNC - Charlotte ,2.8,14,23,1,0,2,1,0,0,0,1,0,0,1,0.0
287,University of Athens ,2.8,9,27,2,0,1,1,2,0,0,0,0,0,0,0.0
287,University of Leipzig ,2.8,6,45,0,3,0,1,0,0,0,0,0,0,0,0.0
287,University of Warsaw ,2.8,15,80,1,0,1,5,2,1,0,0,0,0,0,0.0
287,West Virginia University ,2.8,6,81,1,0,6,0,0,0,0,0,0,0,0,0.0
298,Hunan University ,2.7,20,43,1,0,6,6,0,0,1,1,0,2,0,0.0
298,Lancaster University ,2.7,10,35,0,1,1,4,0,0,0,0,0,0,0,0.0
298,Open University UK ,2.7,5,32,0,0,1,3,0,0,0,1,0,0,1,0.0
298,University of Essex ,2.7,13,37,0,2,0,4,0,0,0,0,0,0,0,0.0
